2011-09-13 09:38:57.000000 {"type":"join","timestamp":"1315906737.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"singpolyma","nickname":"singpolyma","name":"singpolyma","username":null},"content":"singpolyma joined #microformats"}
2011-09-13 09:41:56.000000 {"type":"join","timestamp":"1315906916.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"reidab","nickname":"reidab","name":"reidab","username":null},"content":"reidab joined #microformats"}
2011-09-13 09:49:06.000000 {"type":"join","timestamp":"1315907346.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"krijnh","nickname":"krijnh","name":"krijnh","username":null},"content":"krijnh joined #microformats"}
2011-09-13 09:54:31.000000 {"type":"join","timestamp":"1315907671.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 10:04:19.000000 {"type":"join","timestamp":"1315908259.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"comkee","nickname":"comkee","name":"comkee","username":null},"content":"comkee joined #microformats"}
2011-09-13 10:04:54.000000 {"type":"join","timestamp":"1315908294.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"quiron","nickname":"quiron","name":"quiron","username":null},"content":"quiron joined #microformats"}
2011-09-13 10:34:24.000000 {"type":"message","timestamp":"1315910064.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/fumi1] Facebook Adds Microformats To \u201cDownload Your Info\u201d\u009d Feature | TechCrunch http:\/\/t.co\/4Bckn9H"}
2011-09-13 10:37:31.000000 {"type":"join","timestamp":"1315910251.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3_","nickname":"andr3_","name":"andr3_","username":null},"content":"andr3_ joined #microformats"}
2011-09-13 11:00:57.000000 {"type":"join","timestamp":"1315911657.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nonge__","nickname":"nonge__","name":"nonge__","username":null},"content":"nonge__ joined #microformats"}
2011-09-13 11:09:24.000000 {"type":"join","timestamp":"1315912164.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
