2015-04-01 15:10:25.624000 {"type":"join","timestamp":"1427901025.624000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2015-04-01 15:19:45.489000 {"type":"join","timestamp":"1427901585.489000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2015-04-01 15:59:09.138000 {"type":"join","timestamp":"1427903949.138000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2015-04-01 16:06:04.088000 {"type":"message","timestamp":"1427904364.088000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@pypi_updates] mf2util 0.1.9: Python Microformats2 utilities, a companion to mf2py https:\/\/pypi.python.org\/pypi\/mf2util\/0.1.9 (http:\/\/twtr.io\/xsoo1P5Nuy)"}
2015-04-01 16:08:25.690000 {"type":"join","timestamp":"1427904505.690000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2015-04-01 16:08:30.921000 {"type":"message","timestamp":"1427904510.921000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@artwisanggeni] #python mf2util 0.1.9: Python Microformats2 utilities, a companion to mf2py https:\/\/pypi.python.org\/pypi\/mf2util\/0.1.9 (http:\/\/twtr.io\/xsp1PfVABC)"}
2015-04-01 16:37:43.652000 {"type":"message","timestamp":"1427906263.652000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"nice!"}
2015-04-01 16:59:53.166000 {"type":"join","timestamp":"1427907593.166000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
2015-04-01 17:44:51.292000 {"type":"join","timestamp":"1427910291.292000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2015-04-01 18:27:47.278000 {"type":"join","timestamp":"1427912867.278000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2015-04-01 18:32:26.333000 {"type":"join","timestamp":"1427913146.333000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2015-04-01 19:22:19.029000 {"type":"join","timestamp":"1427916139.029000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegor`","nickname":"gRegor`","name":"gRegor`","username":null},"content":"gRegor` joined #microformats"}
2015-04-01 20:18:29.752000 {"type":"join","timestamp":"1427919509.752000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"KevinMarks joined #microformats"}
2015-04-01 20:40:58.571000 {"type":"join","timestamp":"1427920858.571000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2015-04-01 23:32:52.976000 {"type":"join","timestamp":"1427931172.976000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
