2022-05-10 00:00:13.489600 {"type":"message","timestamp":1652140813.4895735,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":"KevinMarks via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"anyone who wants to test wm's from tumblr and feed reading and file issues in the repo is very welcome","modes":["voice"]}
2022-05-10 05:07:33.524700 {"type":"join","timestamp":1652159253.524749,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":null,"photo":{"value":"https:\/\/jacky.wtf\/assets\/favicon.c9a993d2.png","alt":""},"url":"http:\/\/jacky.wtf","tz":"America\/New_York","host":"47.202.64.169"},"content":null,"modes":[]}
2022-05-10 05:12:12.556800 {"type":"join","timestamp":1652159532.5567832,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":null,"photo":{"value":"https:\/\/jacky.wtf\/assets\/favicon.c9a993d2.png","alt":""},"url":"http:\/\/jacky.wtf","tz":"America\/New_York","host":"47.202.64.169"},"content":null,"modes":[]}
2022-05-10 05:42:54.464100 {"type":"join","timestamp":1652161374.4641006,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":null,"photo":{"value":"https:\/\/jacky.wtf\/assets\/favicon.c9a993d2.png","alt":""},"url":"http:\/\/jacky.wtf","tz":"America\/New_York","host":"47.202.64.169"},"content":null,"modes":[]}
2022-05-10 06:13:17.466600 {"type":"join","timestamp":1652163197.4666169,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":null,"photo":{"value":"https:\/\/jacky.wtf\/assets\/favicon.c9a993d2.png","alt":""},"url":"http:\/\/jacky.wtf","tz":"America\/New_York","host":"47.202.64.169"},"content":null,"modes":[]}
2022-05-10 06:23:39.470300 {"type":"join","timestamp":1652163819.4702904,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":null,"photo":{"value":"https:\/\/jacky.wtf\/assets\/favicon.c9a993d2.png","alt":""},"url":"http:\/\/jacky.wtf","tz":"America\/New_York","host":"47.202.64.169"},"content":null,"modes":[]}
2022-05-10 06:43:15.962300 {"type":"join","timestamp":1652164995.9622808,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"IWDiscordGateway","nickname":"IWDiscordGateway","username":"IWDiscordG","name":"IWDiscordGateway","photo":null,"url":"http:\/\/IWDiscordGateway","tz":"Europe\/London","host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-05-10 06:44:14.847900 {"type":"join","timestamp":1652165054.847904,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"petermolnar","nickname":"petermolnar","username":"mail","name":"Peter Molnar","photo":{"value":"https:\/\/petermolnar.net\/favicon.jpg","alt":""},"url":"http:\/\/petermolnar.net","tz":"Europe\/London","host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-05-10 06:58:57.377700 {"type":"join","timestamp":1652165937.377678,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":null,"photo":{"value":"https:\/\/jacky.wtf\/assets\/favicon.c9a993d2.png","alt":""},"url":"http:\/\/jacky.wtf","tz":"America\/New_York","host":"47.202.64.169"},"content":null,"modes":[]}
2022-05-10 07:19:17.367400 {"type":"join","timestamp":1652167157.367446,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":null,"photo":{"value":"https:\/\/jacky.wtf\/assets\/favicon.c9a993d2.png","alt":""},"url":"http:\/\/jacky.wtf","tz":"America\/New_York","host":"47.202.64.169"},"content":null,"modes":[]}
2022-05-10 07:26:52.629700 {"type":"leave","timestamp":1652167612.6296716,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"petermolnar","nickname":"petermolnar","username":"mail","name":"Peter Molnar","photo":{"value":"https:\/\/petermolnar.net\/favicon.jpg","alt":""},"url":"http:\/\/petermolnar.net","tz":"Europe\/London","host":"alia.petermolnar.eu"},"content":null,"modes":[]}
