2018-11-30 00:12:40.339000 {"type":"join","timestamp":1543536760.339,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"XgF","nickname":"XgF","username":"~quassel","name":null,"photo":null,"url":"http:\/\/owenshepherd.net","tz":"Europe\/London","host":"magi1.paris.fr.node.e43.eu"},"content":null,"modes":[]}
2018-11-30 00:17:43.064400 {"type":"join","timestamp":1543537063.0644,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jgmac1106","nickname":"jgmac1106","username":"~jgmac1106","name":null,"photo":null,"url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"c-76-23-134-228.hsd1.ct.comcast.net"},"content":null,"modes":[]}
2018-11-30 00:31:32.210200 {"type":"join","timestamp":1543537892.2102,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jjuran","nickname":"jjuran","username":"~jjuran","name":"Josh Juran","photo":null,"url":"http:\/\/jjuran.org","tz":"America\/New_York","host":"184.165.3.250"},"content":null,"modes":[]}
2018-11-30 00:54:16.304400 {"type":"join","timestamp":1543539256.3044,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","username":"~Adium","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"12.250.86.194"},"content":null,"modes":[]}
2018-11-30 01:03:22.878500 {"type":"join","timestamp":1543539802.8785,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jgmac1106","nickname":"jgmac1106","username":"~jgmac1106","name":null,"photo":null,"url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"c-76-23-134-228.hsd1.ct.comcast.net"},"content":null,"modes":[]}
2018-11-30 01:06:27.152100 {"type":"join","timestamp":1543539987.1521,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"todrobbins","nickname":"todrobbins","username":"~todrobbin","name":null,"photo":null,"url":null,"tz":null,"host":"205.118.69.211"},"content":null,"modes":[]}
2018-11-30 01:14:11.104000 {"type":"join","timestamp":1543540451.104,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2018-11-30 01:23:57.540700 {"type":"join","timestamp":1543541037.5407,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"benwerd","nickname":"benwerd","username":"~benwerd","name":null,"photo":null,"url":"http:\/\/Werd.io","tz":"America\/Los_Angeles","host":"2601:645:2:5929:e4a6:9982:fbe4:acb5"},"content":null,"modes":[]}
2018-11-30 01:25:21.807700 {"type":"join","timestamp":1543541121.8077,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"benwerd","nickname":"benwerd","username":"~benwerd","name":null,"photo":null,"url":"http:\/\/Werd.io","tz":"America\/Los_Angeles","host":"2601:645:2:5929:e4a6:9982:fbe4:acb5"},"content":null,"modes":[]}
2018-11-30 01:44:01.924500 {"type":"join","timestamp":1543542241.9245,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-11-30 02:17:37.266900 {"type":"join","timestamp":1543544257.2669,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"benwerd","nickname":"benwerd","username":"~benwerd","name":null,"photo":null,"url":"http:\/\/Werd.io","tz":"America\/Los_Angeles","host":"2601:645:2:5929:e4a6:9982:fbe4:acb5"},"content":null,"modes":[]}
2018-11-30 02:28:09.602500 {"type":"join","timestamp":1543544889.6025,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":null,"tz":"US\/Pacific","host":"97-120-8-90.ptld.qwest.net"},"content":null,"modes":[]}
2018-11-30 02:28:20.891100 {"type":"join","timestamp":1543544900.8911,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gooooootime","nickname":"gooooootime","username":"~gooooooti","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gooooootime"},"content":null,"modes":[]}
2018-11-30 02:33:11.073400 {"type":"join","timestamp":1543545191.0734,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mblaney","nickname":"mblaney","username":"~mal","name":null,"photo":null,"url":null,"tz":null,"host":"124-150-77-127.dyn.iinet.net.au"},"content":null,"modes":[]}
2018-11-30 02:34:06.802400 {"type":"leave","timestamp":1543545246.8024,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mblaney","nickname":"mblaney","username":"~mal","name":null,"photo":null,"url":null,"tz":null,"host":"124-150-77-127.dyn.iinet.net.au"},"content":null,"modes":[]}
