2017-06-26 15:41:59.192000 {"type":"join","timestamp":"1498491719.192000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[anomalily]","nickname":"[anomalily]","name":"[anomalily]","username":null},"content":""}
2017-06-26 16:03:03.568000 {"type":"join","timestamp":"1498492983.568000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[cleverdevil]","nickname":"[cleverdevil]","name":"[cleverdevil]","username":null},"content":""}
2017-06-26 16:05:40.669000 {"type":"join","timestamp":"1498493140.669000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","name":"[pfefferle]","username":null},"content":""}
2017-06-26 16:46:11.128000 {"type":"join","timestamp":"1498495571.128000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":""}
2017-06-26 17:04:57.185000 {"type":"join","timestamp":"1498496697.185000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[cleverdevil]","nickname":"[cleverdevil]","name":"[cleverdevil]","username":null},"content":""}
2017-06-26 17:26:59.274000 {"type":"join","timestamp":"1498498019.274000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","name":"[chrisaldrich]","username":null},"content":""}
2017-06-26 17:47:45.162000 {"type":"join","timestamp":"1498499265.162000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"benwerd","nickname":"benwerd","name":"benwerd","username":null},"content":""}
2017-06-26 17:57:34.238000 {"type":"join","timestamp":"1498499854.238000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"benwerd","nickname":"benwerd","name":"benwerd","username":null},"content":""}
2017-06-26 18:04:52.561000 {"type":"join","timestamp":"1498500292.561000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[kiai]","nickname":"[kiai]","name":"[kiai]","username":null},"content":""}
2017-06-26 18:20:46.702000 {"type":"join","timestamp":"1498501246.702000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[apatters]","nickname":"[apatters]","name":"[apatters]","username":null},"content":""}
2017-06-26 18:52:18.648000 {"type":"join","timestamp":"1498503138.648000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","name":"[pfefferle]","username":null},"content":""}
2017-06-26 18:54:38.728000 {"type":"join","timestamp":"1498503278.728000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","name":"[kevinmarks]","username":null},"content":""}
2017-06-26 19:30:21.039000 {"type":"join","timestamp":"1498505421.039000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[miklb]","nickname":"[miklb]","name":"[miklb]","username":null},"content":""}
2017-06-26 20:01:34.037000 {"type":"join","timestamp":"1498507294.037000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[cleverdevil]","nickname":"[cleverdevil]","name":"[cleverdevil]","username":null},"content":""}
2017-06-26 20:32:46.290000 {"type":"join","timestamp":"1498509166.290000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","name":"[kevinmarks]","username":null},"content":""}
2017-06-26 20:57:38.763000 {"type":"join","timestamp":"1498510658.763000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"benwerd","nickname":"benwerd","name":"benwerd","username":null},"content":""}
2017-06-26 21:11:18.019000 {"type":"join","timestamp":"1498511478.019000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","name":"[chrisaldrich]","username":null},"content":""}
2017-06-26 21:52:05.362000 {"type":"join","timestamp":"1498513925.362000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"benwerd","nickname":"benwerd","name":"benwerd","username":null},"content":""}
2017-06-26 22:03:10.013000 {"type":"join","timestamp":"1498514590.013000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[davidized]","nickname":"[davidized]","name":"[davidized]","username":null},"content":""}
2017-06-26 22:23:56.083000 {"type":"join","timestamp":"1498515836.083000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"raucao","nickname":"raucao","name":"raucao","username":null},"content":""}
2017-06-26 23:50:38.241000 {"type":"join","timestamp":"1498521038.241000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"[eddie]","nickname":"[eddie]","name":"[eddie]","username":null},"content":""}
2017-06-26 23:50:52.255000 {"type":"join","timestamp":"1498521052.255000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"raucao","nickname":"raucao","name":"raucao","username":null},"content":""}
