2017-11-30 00:02:12.155000 {"type":"join","timestamp":"1512000132.155000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"[cleverdevil]","nickname":"[cleverdevil]","name":"[cleverdevil]","username":null},"content":""}
2017-11-30 00:42:38.054000 {"type":"join","timestamp":"1512002558.054000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":""}
2017-11-30 00:47:29.758000 {"type":"join","timestamp":"1512002849.758000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"andrea","nickname":"andrea","name":"andrea","username":null},"content":""}
2017-11-30 00:57:13.731000 {"type":"message","timestamp":"1512003433.731000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ChrisAldrich] Yet another reason for #IndieWeb\n#yarfi #OwnYourIdentity https:\/\/twitter.com\/snapchatsupport\/status\/936011857864921088?s=09 (http:\/\/twtr.io\/1Ysv7cQ24sG)"}
2017-11-30 01:00:40.624000 {"type":"join","timestamp":"1512003640.624000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","name":"[kevinmarks]","username":null},"content":""}
2017-11-30 01:05:58.965000 {"type":"message","timestamp":"1512003958.965000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@andrea] OMFG. Here's the rest: https:\/\/andreaarbogast.com\/2017\/11\/29\/16052\/. Having a beer and taking a break now. #indieweb (http:\/\/twtr.io\/1Ysvutjg3r_)"}
2017-11-30 01:13:25.019000 {"type":"join","timestamp":"1512004405.019000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","name":"snarfed","username":null},"content":""}
2017-11-30 01:17:13.092000 {"type":"join","timestamp":"1512004633.092000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-11-30 01:17:57.725000 {"type":"message","timestamp":"1512004677.725000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"hanging out with j12t @MozSF!"}
2017-11-30 01:22:26.066000 {"type":"join","timestamp":"1512004946.066000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","name":"wolftune","username":null},"content":""}
2017-11-30 01:22:52.139000 {"type":"join","timestamp":"1512004972.139000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":""}
2017-11-30 01:26:32.386000 {"type":"message","timestamp":"1512005192.386000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"GWG","nickname":"GWG","name":"GWG","username":null},"content":"Hi, j12t"}
2017-11-30 01:30:07.948000 {"type":"join","timestamp":"1512005407.948000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":""}
2017-11-30 01:30:46.830000 {"type":"message","timestamp":"1512005446.830000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"Hi GWG!"}
2017-11-30 01:31:22.824000 {"type":"message","timestamp":"1512005482.824000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"GWG","nickname":"GWG","name":"GWG","username":null},"content":"How are things going on the HWC front?"}
2017-11-30 01:32:13.554000 {"type":"join","timestamp":"1512005533.554000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"tbbrown","nickname":"tbbrown","name":"tbbrown","username":null},"content":""}
2017-11-30 01:35:03.549000 {"type":"join","timestamp":"1512005703.549000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"leg","nickname":"leg","name":"leg","username":null},"content":""}
2017-11-30 01:36:01.107000 {"type":"message","timestamp":"1512005761.107000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"aaronpk: https:\/\/andreaarbogast.com\/2017\/11\/29\/16052\/ slack irc invitation never showed up?"}
2017-11-30 01:36:02.067000 {"type":"message","timestamp":"1512005762.067000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[andrea] A clarification: I believe in the principles of #indiweb and am trying to get something set up. This is not the first time I have tried, but it is the first time I have asked for help and engaged the community, and I am finding it very welcoming. I a... https:\/\/secure.gravatar.com\/avatar\/a39b1805cc803cee4aca6ce8de586832?s=49&d=mm&r=g"}
