2012-02-21 10:20:32.000000 {"type":"join","timestamp":"1329819632.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nonge_","nickname":"nonge_","name":"nonge_","username":null},"content":"nonge_ joined #microformats"}
2012-02-21 10:27:45.000000 {"type":"join","timestamp":"1329820065.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
2012-02-21 10:55:32.000000 {"type":"message","timestamp":"1329821732.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307HixsonWicklund702\u000314]]\u00034 NM\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=HixsonWicklund702&rcid=58979\u0003 \u00035*\u0003 \u000303HixsonWicklund702\u0003 \u00035*\u0003 (+3048) \u000310New page: Our Football insiders for NFL Expert Picks report that the landscape has changed in the NFL with all the recent offseason trades which will make a significant difference in your fantasy Fo...\u0003"}
2012-02-21 11:16:26.000000 {"type":"message","timestamp":"1329822986.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/gonoverdrive] \u00e3\u0081\u00a1\u00e3\u0081\u00aa\u00e3\u0081\u00bf\u00e3\u0081\u00abxHTML1.0strict\u00e3\u20ac\u201aHTML5\u00e3\u0081\u00a8\u00e3\u0081\u2039hAtom\u00e3\u0081\u00ab\u00e3\u0081\u2122\u00e3\u201a\u2039\u00e3\u0081\u00a8\u00e3\u201a\u201a\u00e3\u0081\u00a3\u00e3\u0081\u00a8\u00e5\u00af\u00be\u00e5\u00bf\u0153\u00e3\u0081\u2122\u00e3\u201a\u2039\u00e3\u0192\u0161\u00e3\u0192\u00bc\u00e3\u201a\u00b8\u00e3\u0081\u0152\u00e5\u00a2\u2014\u00e3\u0081\u02c6\u00e3\u0081\u009d\u00e3\u0081\u2020\u00e3\u0081\u00aa\u00e4\u00ba\u02c6\u00e6\u201e\u0178"}
2012-02-21 11:47:19.000000 {"type":"join","timestamp":"1329824839.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"csarven","nickname":"csarven","name":"csarven","username":null},"content":"csarven joined #microformats"}
2012-02-21 13:59:12.000000 {"type":"join","timestamp":"1329832752.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui_","nickname":"chiui_","name":"chiui_","username":null},"content":"chiui_ joined #microformats"}
2012-02-21 14:08:24.000000 {"type":"join","timestamp":"1329833304.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"MacTed","nickname":"MacTed","name":"MacTed","username":null},"content":"MacTed joined #microformats"}
2012-02-21 14:48:26.000000 {"type":"message","timestamp":"1329835706.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/KatiaTreW] alle prese con l'hcard"}
2012-02-21 15:19:13.000000 {"type":"join","timestamp":"1329837553.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"csarven","nickname":"csarven","name":"csarven","username":null},"content":"csarven joined #microformats"}
2012-02-21 15:30:05.000000 {"type":"message","timestamp":"1329838205.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307User:John345\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=User:John345&rcid=58980\u0003 \u00035*\u0003 \u000303John345\u0003 \u00035*\u0003 (+1518) \u000310New page: Ogromnym zagro\u00c5\u00bceniem dla ludzkiego zdrowia staj\u00c4\u2026 si\u00c4\u2122 choroby w\u00c4\u2026troby. Jakie mog\u00c4\u2026 by\u00c4\u2021 powody chor\u00f3b w\u00c4\u2026troby? Cz\u00c4\u2122ste powody to zw\u00c5\u201aaszcza nieodpowiednia dieta, alkohol oraz wirusy o...\u0003"}
2012-02-21 15:36:37.000000 {"type":"message","timestamp":"1329838597.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307User:Watroba\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=User:Watroba&rcid=58981\u0003 \u00035*\u0003 \u000303Watroba\u0003 \u00035*\u0003 (+1207) \u000310New page: Jakie mog\u00c4\u2026 by\u00c4\u2021 powody chor\u00f3b w\u00c4\u2026troby? Cz\u00c4\u2122ste przyczyny to zw\u00c5\u201aaszcza z\u00c5\u201aa dieta, alkohol oraz wirusy oraz paso\u00c5\u00bcyty. Cz\u00c4\u2122\u00c5\u203aci chor\u00f3b w\u00c4\u2026troby mo\u00c5\u00bcemy zapobiega\u00c4\u2021. Jak wi\u00c4\u2122c zapobiega...\u0003"}
2012-02-21 17:01:31.000000 {"type":"join","timestamp":"1329843691.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hober2","nickname":"hober2","name":"hober2","username":null},"content":"hober2 joined #microformats"}
2012-02-21 17:31:17.000000 {"type":"join","timestamp":"1329845477.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
2012-02-21 17:38:26.000000 {"type":"message","timestamp":"1329845906.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/ykipudady] SchoolHeart, Inc. Saves North Carolina hCard\u00c2\u00ae Members Hundreds While They Help Others! iYZ: .Aoz http:\/\/t.co\/tXlhrEou"}
2012-02-21 17:40:30.000000 {"type":"message","timestamp":"1329846030.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/TechLH] I see a local company totally gaming the hReview system already. they dont even have products on their site but 300+ \"reviews\""}
2012-02-21 17:57:03.000000 {"type":"join","timestamp":"1329847023.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
