2014-11-09 07:47:58.503000 {"type":"join","timestamp":"1415519278.503000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Erkan_Yilmaz","nickname":"Erkan_Yilmaz","name":"Erkan_Yilmaz","username":null},"content":"Erkan_Yilmaz joined #microformats"}
2014-11-09 08:12:43.886000 {"type":"message","timestamp":"1415520763.886000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@pluphil] RT @HostVergelijken: Ervaring #flexwebhosting: \"...doe het niet!\" http:\/\/www.hostingvergelijken.eu\/flexwebhosting-hosting-recensie\/?wpcrp=1#hreview-115 #hostingvergelijken (http:\/\/twtr.io\/si_M9RSWFU)"}
2014-11-09 08:12:59.144000 {"type":"message","timestamp":"1415520779.144000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@pluphil] RT @HostVergelijken: Recensie #Argeweb : 1\/5 \"...meest slechte service ooit...\" http:\/\/www.hostingvergelijken.eu\/argeweb-hosting-recensie\/?wpcrp=1#hreview-114 (http:\/\/twtr.io\/si_NZ3PkhQ)"}
2014-11-09 09:43:14.364000 {"type":"join","timestamp":"1415526194.364000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"madake","nickname":"madake","name":"madake","username":null},"content":"madake joined #microformats"}
2014-11-09 10:30:21.723000 {"type":"join","timestamp":"1415529021.723000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"krendil","nickname":"krendil","name":"krendil","username":null},"content":"krendil joined #microformats"}
2014-11-09 12:55:17.194000 {"type":"message","timestamp":"1415537717.194000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"missed hectorMcSpector"}
2014-11-09 12:57:01.200000 {"type":"message","timestamp":"1415537821.200000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307process\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=process&diff=64646&oldid=53040&rcid=101010\u0003 \u00035*\u0003 \u000303TomMorris\u0003 \u00035*\u0003 (+26) \u000310\/* Related *\/ adding link to [[free-specifications]]\u0003"}
2014-11-09 13:09:55.661000 {"type":"message","timestamp":"1415538595.661000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/move\u000314]]\u00034 move\u000310 \u000302\u0003 \u00035*\u0003 \u000303TomMorris\u0003 \u00035*\u0003  \u000310[[\u000302how-to-start-new-translation\u000310]] moved to [[how-to-start-a-new-translation]]: better title\u0003"}
2014-11-09 14:42:24.549000 {"type":"join","timestamp":"1415544144.549000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"madake","nickname":"madake","name":"madake","username":null},"content":"madake joined #microformats"}
2014-11-09 15:36:06.709000 {"type":"join","timestamp":"1415547366.709000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"hectorMcSpector joined #microformats"}
