2012-03-17 19:55:36.000000 {"type":"message","timestamp":"1332014136.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302DyannaAndujar511\u000310]]\": Vandalism: content was spam\u0003"}
2012-03-17 19:56:04.000000 {"type":"message","timestamp":"1332014164.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307resources\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=resources&diff=45700&oldid=45694&rcid=59226\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (-109) \u000310Reverted edits by [[Special:Contributions\/Jenk|Jenk]] ([[User talk:Jenk|Talk]]) to last version by [[User:Tantek|Tantek]]\u0003"}
2012-03-17 19:56:13.000000 {"type":"message","timestamp":"1332014173.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:Jenk\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-03-17 19:56:51.000000 {"type":"message","timestamp":"1332014211.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302ZonnyaEichelberger544\u000310]]\": Vandalism: content was: 'Awesome wiki' copy\/paste template\u0003"}
2012-03-17 19:58:14.000000 {"type":"message","timestamp":"1332014294.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302LeeseLong286\u000310]]\": Vandalism: content was: 'Awesome wiki' copy\/paste template\u0003"}
2012-03-17 19:59:00.000000 {"type":"message","timestamp":"1332014340.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307wordpress\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=wordpress&diff=45701&oldid=45691&rcid=59230\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (-52) \u000310Reverted edits by [[Special:Contributions\/Kilis|Kilis]] ([[User talk:Kilis|Talk]]) to last version by [[User:Tantek|Tantek]]\u0003"}
2012-03-17 19:59:12.000000 {"type":"message","timestamp":"1332014352.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:Kilis\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-03-17 19:59:57.000000 {"type":"message","timestamp":"1332014397.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:Holdermankeith\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-03-17 20:00:05.000000 {"type":"message","timestamp":"1332014405.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302Tips For All Your Commercial Real Estate Needs\u000310]]\": Vandalism: content was spam\u0003"}
2012-03-17 20:00:10.000000 {"type":"message","timestamp":"1332014410.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302User:Holdermankeith\u000310]]\": Vandalism: content was spam\u0003"}
2012-03-17 20:00:21.000000 {"type":"message","timestamp":"1332014421.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Help:Contents\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=Help:Contents&diff=45702&oldid=45684&rcid=59235\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (-387) \u000310Reverted edits by [[Special:Contributions\/Weiyi|Weiyi]] ([[User talk:Weiyi|Talk]]) to last version by [[User:Tantek|Tantek]]\u0003"}
2012-03-17 20:00:32.000000 {"type":"message","timestamp":"1332014432.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:Weiyi\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-03-17 20:00:46.000000 {"type":"message","timestamp":"1332014446.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307events\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=events&diff=45703&oldid=45683&rcid=59237\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (\u0002-537\u0002) \u000310Reverted edits by [[Special:Contributions\/Weiyi|Weiyi]] ([[User talk:Weiyi|Talk]]) to last version by [[User:Neetij|Neetij]]\u0003"}
2012-03-17 20:00:49.000000 {"type":"message","timestamp":"1332014449.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Microformats Wiki:General disclaimer\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=Microformats_Wiki:General_disclaimer&diff=45704&oldid=45682&rcid=59238\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (-15) \u000310Reverted edits by [[Special:Contributions\/Weiyi|Weiyi]] ([[User talk:Weiyi|Talk]]) to last version by [[User:JeffMcNeill|JeffMcNeill]]\u0003"}
2012-03-17 20:04:50.000000 {"type":"message","timestamp":"1332014690.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307existing-rel-values\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=existing-rel-values&diff=45705&oldid=45678&rcid=59239\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (+1) \u000310rel-canonical worth pursuing but not rec\/spec yet"}
2012-03-17 20:04:50.000000 {"type":"message","timestamp":"1332014690.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"meta promotes DRY-violating sidefiles, thus don't promote. Undo revision 45678 by [[Special:Contributions\/A3 nm|A3 nm]] ([[User talk:A3 nm|Talk]])\u0003"}
2012-03-17 20:22:01.000000 {"type":"join","timestamp":"1332015721.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kennyluck","nickname":"kennyluck","name":"kennyluck","username":null},"content":"kennyluck joined #microformats"}
