2011-08-04 13:50:40.000000 {"type":"join","timestamp":"1312465840.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"ericduran","nickname":"ericduran","name":"ericduran","username":null},"content":"ericduran joined #microformats"}
2011-08-04 13:54:19.000000 {"type":"join","timestamp":"1312466059.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Askarii","nickname":"Askarii","name":"Askarii","username":null},"content":"Askarii joined #microformats"}
2011-08-04 15:04:25.000000 {"type":"join","timestamp":"1312470265.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"csarven","nickname":"csarven","name":"csarven","username":null},"content":"csarven joined #microformats"}
2011-08-04 15:13:05.000000 {"type":"join","timestamp":"1312470785.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"csarven","nickname":"csarven","name":"csarven","username":null},"content":"csarven joined #microformats"}
2011-08-04 15:18:08.000000 {"type":"message","timestamp":"1312471088.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307page-summary-formats\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=page-summary-formats&diff=44336&oldid=36371&rcid=57475\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (+128) \u000310Firefox 6 dropped support for proprietary microsummary format\u0003"}
2011-08-04 15:33:35.000000 {"type":"message","timestamp":"1312472015.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307microformats-2-brainstorming\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=microformats-2-brainstorming&diff=44337&oldid=44080&rcid=57476\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (+152) \u000310make implied properties consistent with microformats 2 property naming\/prefixing conventions\u0003"}
2011-08-04 15:46:18.000000 {"type":"join","timestamp":"1312472778.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"ericduran","nickname":"ericduran","name":"ericduran","username":null},"content":"ericduran joined #microformats"}
2011-08-04 16:11:54.000000 {"type":"join","timestamp":"1312474314.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"mwunsch","nickname":"mwunsch","name":"mwunsch","username":null},"content":"mwunsch joined #microformats"}
2011-08-04 16:30:36.000000 {"type":"join","timestamp":"1312475436.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
2011-08-04 16:34:05.000000 {"type":"join","timestamp":"1312475645.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"mwunsch","nickname":"mwunsch","name":"mwunsch","username":null},"content":"mwunsch joined #microformats"}
2011-08-04 16:37:12.000000 {"type":"join","timestamp":"1312475832.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"mwunsch","nickname":"mwunsch","name":"mwunsch","username":null},"content":"mwunsch joined #microformats"}
