2015-12-16 00:27:18.713000 {"type":"join","timestamp":"1450225638.713000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"minsky","nickname":"minsky","name":"minsky","username":null},"content":"minsky joined #indiewebcamp"}
2015-12-16 00:34:05.941000 {"type":"join","timestamp":"1450226045.941000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"KevinMarks_","nickname":"KevinMarks_","name":"KevinMarks_","username":null},"content":"KevinMarks_ joined #indiewebcamp"}
2015-12-16 00:35:32.783000 {"type":"join","timestamp":"1450226132.783000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"kousu[xmpp]","nickname":"kousu[xmpp]","name":"kousu[xmpp]","username":null},"content":"kousu[xmpp] joined #indiewebcamp"}
2015-12-16 00:53:07.664000 {"type":"join","timestamp":"1450227187.664000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"snarfed","nickname":"snarfed","name":"snarfed","username":null},"content":"snarfed joined #indiewebcamp"}
2015-12-16 00:54:18.831000 {"type":"join","timestamp":"1450227258.831000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"M-RyanRix","nickname":"M-RyanRix","name":"M-RyanRix","username":null},"content":"M-RyanRix joined #indiewebcamp"}
2015-12-16 01:00:53.619000 {"type":"message","timestamp":"1450227653.619000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"hm, kyle's collection post type looks like my noterlive output, as they are a list of cites"}
2015-12-16 01:06:47.692000 {"type":"message","timestamp":"1450228007.692000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"GWG","nickname":"GWG","name":"GWG","username":null},"content":"Evening"}
2015-12-16 01:06:53.402000 {"type":"message","timestamp":"1450228013.402000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"GWG: petermolnar left you a message 12 hours, 1 minute ago: what is the licence on your WP bridgy-publish plugin? http:\/\/indiewebcamp.com\/irc\/2015-12-15\/line\/1450184698579"}
2015-12-16 01:06:58.402000 {"type":"message","timestamp":"1450228018.402000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"GWG: petermolnar left you a message 12 hours, 1 minute ago: nothing, found it, sorry http:\/\/indiewebcamp.com\/irc\/2015-12-15\/line\/1450184721377"}
2015-12-16 01:07:18.238000 {"type":"message","timestamp":"1450228038.238000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"GWG","nickname":"GWG","name":"GWG","username":null},"content":"I need to update that plugin"}
2015-12-16 01:09:53.488000 {"type":"join","timestamp":"1450228193.488000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"bengo","nickname":"bengo","name":"bengo","username":null},"content":"bengo joined #indiewebcamp"}
2015-12-16 01:12:20.851000 {"type":"join","timestamp":"1450228340.851000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"lukebrooker","nickname":"lukebrooker","name":"lukebrooker","username":null},"content":"lukebrooker joined #indiewebcamp"}
2015-12-16 01:13:07.519000 {"type":"message","timestamp":"1450228387.519000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"the other examples don't have the collected items as children"}
2015-12-16 01:13:29.325000 {"type":"message","timestamp":"1450228409.325000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"GWG","nickname":"GWG","name":"GWG","username":null},"content":"If you could spend all day writing Indieweb stuff, would you?"}
2015-12-16 01:14:56.376000 {"type":"message","timestamp":"1450228496.376000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"GWG","nickname":"GWG","name":"GWG","username":null},"content":"I always feel like I am not scratching my itches fast enough"}
2015-12-16 01:15:29.545000 {"type":"message","timestamp":"1450228529.545000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"I would like to"}
2015-12-16 01:18:23.400000 {"type":"message","timestamp":"1450228703.400000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"GWG","nickname":"GWG","name":"GWG","username":null},"content":"KevinMarks, going to do an end of year post? Or end of year goal?"}
2015-12-16 01:19:00.134000 {"type":"message","timestamp":"1450228740.134000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"my sons are home for the holidays so likely going to be focusing on them instead of my site"}
