2016-10-28 00:16:16.518000 {"type":"join","timestamp":"1477613776.518000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"tridnguyen","nickname":"tridnguyen","name":"tridnguyen","username":null},"content":""}
2016-10-28 00:25:42.854000 {"type":"join","timestamp":"1477614342.854000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"nikivi","nickname":"nikivi","name":"nikivi","username":null},"content":""}
2016-10-28 00:34:47.710000 {"type":"join","timestamp":"1477614887.710000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"funwhilelost","nickname":"funwhilelost","name":"funwhilelost","username":null},"content":""}
2016-10-28 00:37:09.935000 {"type":"join","timestamp":"1477615029.935000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"mlncn","nickname":"mlncn","name":"mlncn","username":null},"content":""}
2016-10-28 00:51:20.733000 {"type":"join","timestamp":"1477615880.733000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"mlncn","nickname":"mlncn","name":"mlncn","username":null},"content":""}
2016-10-28 01:19:21.810000 {"type":"join","timestamp":"1477617561.810000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"AngeloGladding","nickname":"AngeloGladding","name":"AngeloGladding","username":null},"content":""}
2016-10-28 01:39:04.714000 {"type":"join","timestamp":"1477618744.714000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"funwhilelost","nickname":"funwhilelost","name":"funwhilelost","username":null},"content":""}
2016-10-28 01:46:06.072000 {"type":"join","timestamp":"1477619166.072000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-10-28 01:51:40.936000 {"type":"join","timestamp":"1477619500.936000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"mlncn","nickname":"mlncn","name":"mlncn","username":null},"content":""}
2016-10-28 02:08:29.715000 {"type":"join","timestamp":"1477620509.715000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"shiflett","nickname":"shiflett","name":"shiflett","username":null},"content":""}
2016-10-28 02:13:07.883000 {"type":"join","timestamp":"1477620787.883000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","name":"wolftune","username":null},"content":""}
2016-10-28 02:14:21.720000 {"type":"join","timestamp":"1477620861.720000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"funwhilelost","nickname":"funwhilelost","name":"funwhilelost","username":null},"content":""}
2016-10-28 02:22:38.565000 {"type":"join","timestamp":"1477621358.565000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"awolf","nickname":"awolf","name":"awolf","username":null},"content":""}
2016-10-28 02:28:15.924000 {"type":"join","timestamp":"1477621695.924000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"rpcope","nickname":"rpcope","name":"rpcope","username":null},"content":""}
2016-10-28 02:30:07.736000 {"type":"join","timestamp":"1477621807.736000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"chimo","nickname":"chimo","name":"chimo","username":null},"content":""}
2016-10-28 02:30:12.361000 {"type":"message","timestamp":"1477621812.361000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Just generated the first draft of this week's newsletter! https:\/\/indieweb.org\/this-week\/2016-10-28.html I'll generate a draft again tomorrow, so please add to it before then! https:\/\/indieweb.org\/this-week#How_to"}
2016-10-28 02:31:12.831000 {"type":"join","timestamp":"1477621872.831000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-10-28 02:33:20.880000 {"type":"join","timestamp":"1477622000.880000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"mlncn","nickname":"mlncn","name":"mlncn","username":null},"content":""}
2016-10-28 03:12:14.898000 {"type":"join","timestamp":"1477624334.898000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","name":"snarfed","username":null},"content":""}
2016-10-28 03:59:06.799000 {"type":"join","timestamp":"1477627146.799000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","name":"wolftune","username":null},"content":""}
2016-10-28 04:00:05.879000 {"type":"join","timestamp":"1477627205.879000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","name":"snarfed","username":null},"content":""}
2016-10-28 04:03:28.719000 {"type":"join","timestamp":"1477627408.719000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","name":"wolftune","username":null},"content":""}
2016-10-28 04:07:55.879000 {"type":"join","timestamp":"1477627675.879000","network":"irc","server":"freenode","channel":{"id":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","name":"wolftune","username":null},"content":""}
