2015-09-09 15:46:53.883000 {"type":"join","timestamp":"1441813613.883000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","name":"gRegorLove","username":null},"content":"gRegorLove joined #microformats"}
2015-09-09 16:18:09.375000 {"type":"join","timestamp":"1441815489.375000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2015-09-09 16:41:07.464000 {"type":"message","timestamp":"1441816867.464000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@kartik_prabhu] @inkovic Actually none of those except maybe \u201cproduct\u201d\u009d look like microformats. Seem more like crazy class naming conventions. (http:\/\/twtr.io\/13fE1HMk4Rb)"}
2015-09-09 16:42:10.483000 {"type":"message","timestamp":"1441816930.483000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"KartikPrabhu: \"product\" there is not a microformat either. hproduct is a classic root class name but that's it."}
2015-09-09 16:42:21.689000 {"type":"message","timestamp":"1441816941.689000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"I know. :)"}
2015-09-09 16:42:39.411000 {"type":"message","timestamp":"1441816959.411000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"however the problem of \"I'm guessing some of these might be microformats\" is one of the reasons why we adopted consistent prefixes for mf2"}
2015-09-09 16:42:48.283000 {"type":"message","timestamp":"1441816968.283000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"I was giving some leeway in the argument ;)"}
2015-09-09 16:43:48.074000 {"type":"message","timestamp":"1441817028.074000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"yes. the prefix thing is a good improvement in mf2. unfortunately it seems these \"class-naming conventions\" are also adopting prefixes like \"u-\" for \"utilities\""}
2015-09-09 16:43:53.582000 {"type":"message","timestamp":"1441817033.582000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"should find reference"}
2015-09-09 16:45:32.684000 {"type":"message","timestamp":"1441817132.684000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":"https:\/\/github.com\/suitcss\/suit"}
