2014-03-15 13:36:47.000000 {"type":"join","timestamp":"1394890607.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
2014-03-15 14:42:10.000000 {"type":"join","timestamp":"1394894530.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
2014-03-15 14:43:11.000000 {"type":"join","timestamp":"1394894591.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
2014-03-15 14:54:23.000000 {"type":"join","timestamp":"1394895263.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"joeysim","nickname":"joeysim","name":"joeysim","username":null},"content":"joeysim joined #microformats"}
2014-03-15 15:37:51.000000 {"type":"join","timestamp":"1394897871.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JonathanNeal","nickname":"JonathanNeal","name":"JonathanNeal","username":null},"content":"JonathanNeal joined #microformats"}
2014-03-15 15:38:11.000000 {"type":"join","timestamp":"1394897891.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Phae","nickname":"Phae","name":"Phae","username":null},"content":"Phae joined #microformats"}
2014-03-15 15:43:01.000000 {"type":"join","timestamp":"1394898181.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"joeysim","nickname":"joeysim","name":"joeysim","username":null},"content":"joeysim joined #microformats"}
2014-03-15 16:00:05.000000 {"type":"join","timestamp":"1394899205.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"joeysim","nickname":"joeysim","name":"joeysim","username":null},"content":"joeysim joined #microformats"}
2014-03-15 16:41:42.000000 {"type":"join","timestamp":"1394901702.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"joeysim","nickname":"joeysim","name":"joeysim","username":null},"content":"joeysim joined #microformats"}
2014-03-15 17:02:13.000000 {"type":"join","timestamp":"1394902933.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"caseorganic","nickname":"caseorganic","name":"caseorganic","username":null},"content":"caseorganic joined #microformats"}
2014-03-15 17:07:04.000000 {"type":"join","timestamp":"1394903224.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kylewm","nickname":"kylewm","name":"kylewm","username":null},"content":"kylewm joined #microformats"}
2014-03-15 17:10:01.000000 {"type":"message","timestamp":"1394903401.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kylewm","nickname":"kylewm","name":"kylewm","username":null},"content":"[migrated here from #indiewebcamp, sorry for x-posting]"}
2014-03-15 17:10:01.000000 {"type":"message","timestamp":"1394903401.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kylewm","nickname":"kylewm","name":"kylewm","username":null},"content":"I'm looking at the microformats test suite, had a question about relative -> absolute urls... e.g., in https:\/\/github.com\/microformats\/tests\/blob\/master\/h-review.html I see <img class=\"u-photo\" src=\"images\/photo.gif\" \/> with expected output \"photo\": [\"http:\/\/example.com\/images\/photo.gif\"]. where did http:\/\/example.com come from in the expected output ?"}
2014-03-15 17:26:48.000000 {"type":"join","timestamp":"1394904408.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"joeysim","nickname":"joeysim","name":"joeysim","username":null},"content":"joeysim joined #microformats"}
2014-03-15 17:47:22.000000 {"type":"join","timestamp":"1394905642.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
