2016-01-27 15:39:25.155000 {"type":"message","timestamp":"1453909165.155000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@otygblodhemn] Microdata et https:\/\/t.co\/soDDcWe0IH, la s\u00e9mantique chirurgicale via @alsacreations - http:\/\/www.alsacreations.com\/article\/lire\/1509-microdata-microformats-schema-semantique.html (http:\/\/twtr.io\/18hC0VYnB4_)"}
2016-01-27 15:56:35.754000 {"type":"join","timestamp":"1453910195.754000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"MSiep","nickname":"MSiep","name":"MSiep","username":null},"content":"MSiep joined #microformats"}
2016-01-27 16:16:16.008000 {"type":"join","timestamp":"1453911376.008000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 16:35:09.296000 {"type":"join","timestamp":"1453912509.296000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 16:41:33.380000 {"type":"join","timestamp":"1453912893.380000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 17:57:53.350000 {"type":"join","timestamp":"1453917473.350000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2016-01-27 17:59:49.973000 {"type":"join","timestamp":"1453917589.973000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","name":"gRegorLove","username":null},"content":"gRegorLove joined #microformats"}
2016-01-27 18:34:57.485000 {"type":"join","timestamp":"1453919697.485000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"emmak","nickname":"emmak","name":"emmak","username":null},"content":"emmak joined #microformats"}
2016-01-27 18:49:39.387000 {"type":"join","timestamp":"1453920579.387000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 19:06:21.261000 {"type":"join","timestamp":"1453921581.261000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 19:22:32.971000 {"type":"join","timestamp":"1453922552.971000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"AngeloGladding","nickname":"AngeloGladding","name":"AngeloGladding","username":null},"content":"AngeloGladding joined #microformats"}
2016-01-27 19:55:47.678000 {"type":"message","timestamp":"1453924547.678000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@bitprophet] @enemykite and don't forget the semantic web microformats (http:\/\/twtr.io\/18ha3L3XJFU)"}
2016-01-27 20:07:48.430000 {"type":"join","timestamp":"1453925268.430000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 20:59:41.884000 {"type":"join","timestamp":"1453928381.884000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Erkan_Yilmaz","nickname":"Erkan_Yilmaz","name":"Erkan_Yilmaz","username":null},"content":"Erkan_Yilmaz joined #microformats"}
2016-01-27 20:59:42.118000 {"type":"join","timestamp":"1453928382.118000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Erkan_Yilmaz","nickname":"Erkan_Yilmaz","name":"Erkan_Yilmaz","username":null},"content":"Erkan_Yilmaz joined #microformats"}
2016-01-27 22:13:31.542000 {"type":"join","timestamp":"1453932811.542000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Left_Turn","nickname":"Left_Turn","name":"Left_Turn","username":null},"content":"Left_Turn joined #microformats"}
2016-01-27 22:27:18.679000 {"type":"join","timestamp":"1453933638.679000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 23:06:00.358000 {"type":"join","timestamp":"1453935960.358000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 23:29:05.670000 {"type":"join","timestamp":"1453937345.670000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
